Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
Barlow,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european vietnamese top-popular trending most-used,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,,latin | latin-ext | vietnamese,Jeremy Tribby,14,234,No,2017-10-26,2025-09-11,https://fonts.google.com/specimen/Barlow
Barlow Condensed,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european vietnamese popular widely-used,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,,latin | latin-ext | vietnamese,Jeremy Tribby,29,618,No,2017-10-26,2025-09-08,https://fonts.google.com/specimen/Barlow+Condensed
Barlow Semi Condensed,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european vietnamese popular widely-used,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,,latin | latin-ext | vietnamese,Jeremy Tribby,42,336,No,2017-10-26,2025-09-16,https://fonts.google.com/specimen/Barlow+Semi+Condensed
Barriecito,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Omnibus-Type,159,333,No,2019-06-11,2025-09-11,https://fonts.google.com/specimen/Barriecito
Barrio,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Omnibus-Type,481,724,No,2016-12-02,2025-09-11,https://fonts.google.com/specimen/Barrio
Basic,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,400,,latin | latin-ext,Magnus Gaarde,291,234,No,2011-12-15,2025-09-10,https://fonts.google.com/specimen/Basic
Baskervville,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic variable variable-font responsive variable-weight english western european extended-latin european well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i,wght: 400..700,latin | latin-ext,ANRT,252,1684,No,2019-10-04,2025-09-11,https://fonts.google.com/specimen/Baskervville
Baskervville SC,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone variable variable-font responsive variable-weight english western european extended-latin european,400 | 500 | 600 | 700,wght: 400..700,latin | latin-ext,ANRT,1277,1678,No,2024-06-25,2025-09-08,https://fonts.google.com/specimen/Baskervville+SC
Battambang,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention khmer cambodian english western european,100 | 300 | 400 | 700 | 900,,khmer | latin,Danh Hong,828,1278,No,2011-03-02,2025-09-04,https://fonts.google.com/specimen/Battambang
Baumans,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european,400,,latin,Cyreal,328,337,No,2011-12-07,2025-09-08,https://fonts.google.com/specimen/Baumans
Bayon,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention khmer cambodian english western european,400,,khmer | latin,Danh Hong,211,210,No,2011-03-02,2025-09-11,https://fonts.google.com/specimen/Bayon
BBH Bartle,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Studio DRAMA,405,42,No,2025-12-08,2025-12-10,https://fonts.google.com/specimen/BBH+Bartle
BBH Bogle,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Studio DRAMA,469,180,No,2025-12-08,2025-12-10,https://fonts.google.com/specimen/BBH+Bogle
BBH Hegarty,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european,400,,latin,Studio DRAMA,983,112,No,2025-12-08,2025-12-10,https://fonts.google.com/specimen/BBH+Hegarty
Be Vietnam Pro,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible italic english western european extended-latin european vietnamese well-known common,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,,latin | latin-ext | vietnamese,Lâm Bảo | Tony Le | ViệtAnh Nguyễn,105,289,No,2021-06-13,2025-09-08,https://fonts.google.com/specimen/Be+Vietnam+Pro
Beau Rivage,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,733,494,No,2022-02-16,2025-05-30,https://fonts.google.com/specimen/Beau+Rivage
Bebas Neue,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european top-popular trending most-used,400,,latin | latin-ext,Ryoichi Tsunekawa,44,1204,No,2019-10-16,2025-09-16,https://fonts.google.com/specimen/Bebas+Neue
Beiruti,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible variable variable-font responsive variable-weight arabic RTL middle-east english western european extended-latin european vietnamese,200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,wght: 200..900,arabic | latin | latin-ext | vietnamese,Boutros Fonts | Arlette Boutros | Volker Schnebel,525,775,No,2024-06-25,2025-09-10,https://fonts.google.com/specimen/Beiruti
Belanosima,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400 | 600 | 700,,latin | latin-ext,The DocRepair Project | Santiago Orozco,129,580,No,2023-06-14,2025-06-02,https://fonts.google.com/specimen/Belanosima
Belgrano,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,LatinoType,1214,1624,No,2011-12-19,2025-09-04,https://fonts.google.com/specimen/Belgrano
Bellefair,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone hebrew RTL israeli english western european extended-latin european,400,,hebrew | latin | latin-ext,Nick Shinn | Liron Lavi Turkenic,171,363,No,2017-06-28,2025-09-08,https://fonts.google.com/specimen/Bellefair
Belleza,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,400,,latin | latin-ext,Eduardo Tunni,239,893,No,2012-03-29,2025-09-04,https://fonts.google.com/specimen/Belleza
Bellota,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention italic russian cyrillic slavic english western european extended-latin european vietnamese,300 | 300i | 400 | 400i | 700 | 700i,,cyrillic | latin | latin-ext | vietnamese,Kemie Guaida,305,343,No,2020-01-16,2025-09-16,https://fonts.google.com/specimen/Bellota
Bellota Text,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic english western european extended-latin european vietnamese,300 | 300i | 400 | 400i | 700 | 700i,,cyrillic | latin | latin-ext | vietnamese,Kemie Guaida,779,1955,No,2020-01-16,2025-09-04,https://fonts.google.com/specimen/Bellota+Text
BenchNine,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european,300 | 400 | 700,,latin | latin-ext,Vernon Adams,206,304,No,2012-09-24,2025-09-10,https://fonts.google.com/specimen/BenchNine
Benne,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone kannada indian english western european extended-latin european,400,,kannada | latin | latin-ext,John Harrington,1397,229,No,2016-03-01,2025-09-11,https://fonts.google.com/specimen/Benne
Bentham,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european,400,,latin | latin-ext,Ben Weiner,735,388,No,2010-11-30,2025-09-16,https://fonts.google.com/specimen/Bentham
Berkshire Swash,Handwriting,Serif,Display,personal casual friendly warm handwritten script organic transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Astigmatic,127,607,No,2012-03-14,2025-09-11,https://fonts.google.com/specimen/Berkshire+Swash
Besley,Serif,Slab Serif,,elegant traditional classic refined literary editorial slab mechanical sturdy strong versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 400..900,latin | latin-ext,Owen Earl,255,1228,No,2021-01-05,2025-09-08,https://fonts.google.com/specimen/Besley
Betania Patmos,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Carolina Giovagnoli,538,242,No,2026-02-12,2026-02-17,https://fonts.google.com/specimen/Betania+Patmos
Betania Patmos GDL,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Carolina Giovagnoli,2015,1258,No,2026-02-12,2026-02-17,https://fonts.google.com/specimen/Betania+Patmos+GDL
Betania Patmos In,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Carolina Giovagnoli,560,613,No,2026-02-12,2026-02-17,https://fonts.google.com/specimen/Betania+Patmos+In
Betania Patmos In GDL,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,Carolina Giovagnoli,717,440,No,2026-02-12,2026-02-17,https://fonts.google.com/specimen/Betania+Patmos+In+GDL
Beth Ellen,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european,400,,latin,Rob Jelinski | Alyson Fraser Diaz,273,607,No,2019-05-09,2025-09-10,https://fonts.google.com/specimen/Beth+Ellen
Bevan,Serif,Slab Serif,Display,elegant traditional classic refined literary editorial slab mechanical sturdy strong headline hero decorative large-text attention italic english western european extended-latin european vietnamese,400 | 400i,,latin | latin-ext | vietnamese,Vernon Adams,301,1348,No,2011-02-23,2025-09-16,https://fonts.google.com/specimen/Bevan
BhuTuka Expanded One,Serif,Slab Serif,Display,elegant traditional classic refined literary editorial slab mechanical sturdy strong headline hero decorative large-text attention punjabi gurmukhi indian english western european extended-latin european,400,,gurmukhi | latin | latin-ext,Erin McLaughlin,1062,95,No,2022-01-21,2025-09-08,https://fonts.google.com/specimen/BhuTuka+Expanded+One
Big Shoulders,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,opsz: 10..72 | wght: 100..900,latin | latin-ext | vietnamese,Patric King,342,139,No,2025-02-05,2025-09-02,https://fonts.google.com/specimen/Big+Shoulders
Big Shoulders Inline,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,opsz: 10..72 | wght: 100..900,latin | latin-ext | vietnamese,Patric King,1020,1282,No,2025-02-05,2025-09-04,https://fonts.google.com/specimen/Big+Shoulders+Inline
Big Shoulders Stencil,Display,Sans Serif,Display,bold decorative headline attention-grabbing creative expressive geometric humanist grotesque headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight english western european extended-latin european vietnamese,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,opsz: 10..72 | wght: 100..900,latin | latin-ext | vietnamese,Patric King,366,297,No,2025-02-05,2025-09-04,https://fonts.google.com/specimen/Big+Shoulders+Stencil
Bigelow Rules,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Astigmatic,413,60,No,2012-11-02,2025-09-11,https://fonts.google.com/specimen/Bigelow+Rules
Bigshot One,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european,400,,latin,Gesine Todt,591,1071,No,2011-05-04,2025-09-10,https://fonts.google.com/specimen/Bigshot+One
Bilbo,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,397,588,No,2011-12-07,2025-09-16,https://fonts.google.com/specimen/Bilbo
Bilbo Swash Caps,Handwriting,,Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal english western european extended-latin european,400,,latin | latin-ext,TypeSETit,587,1176,No,2011-12-13,2025-09-02,https://fonts.google.com/specimen/Bilbo+Swash+Caps
BioRhyme,Serif,Slab Serif,,elegant traditional classic refined literary editorial slab mechanical sturdy strong versatile multi-weight flexible variable variable-font responsive variable-weight variable-width english western european extended-latin european,200 | 300 | 400 | 500 | 600 | 700 | 800,wdth: 100..125 | wght: 200..800,latin | latin-ext,Aoife Mooney,393,419,No,2016-03-01,2025-09-16,https://fonts.google.com/specimen/BioRhyme
BioRhyme Expanded,Serif,Slab Serif,Display,elegant traditional classic refined literary editorial slab mechanical sturdy strong headline hero decorative large-text attention english western european extended-latin european,200 | 300 | 400 | 700 | 800,,latin | latin-ext,Aoife Mooney,1634,1832,No,2016-06-15,2025-09-08,https://fonts.google.com/specimen/BioRhyme+Expanded
Birthstone,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european vietnamese,400,,latin | latin-ext | vietnamese,Robert Leuschke,494,785,No,2021-08-06,2025-09-04,https://fonts.google.com/specimen/Birthstone
Birthstone Bounce,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  script cursive hand-drawn artistic informal headline hero decorative large-text attention english western european extended-latin european vietnamese,400 | 500,,latin | latin-ext | vietnamese,Robert Leuschke,1144,458,No,2021-09-02,2025-09-04,https://fonts.google.com/specimen/Birthstone+Bounce
Biryani,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible hindi devanagari indian english western european extended-latin european,200 | 300 | 400 | 600 | 700 | 800 | 900,,devanagari | latin | latin-ext,Dan Reynolds | Mathieu Réguer,118,41,No,2015-04-22,2025-09-04,https://fonts.google.com/specimen/Biryani
Bitcount,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1060,1149,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount
Bitcount Grid Double,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,961,1349,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount+Grid+Double
Bitcount Grid Double Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1107,1000,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Grid+Double+Ink
Bitcount Grid Single,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1678,2097,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount+Grid+Single
Bitcount Grid Single Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1077,1048,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Grid+Single+Ink
Bitcount Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,984,11,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Ink
Bitcount Prop Double,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1093,1181,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount+Prop+Double
Bitcount Prop Double Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1088,1264,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Prop+Double+Ink
Bitcount Prop Single,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,353,5,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount+Prop+Single
Bitcount Prop Single Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1101,1045,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Prop+Single+Ink
Bitcount Single,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1254,2132,No,2025-01-09,2025-09-16,https://fonts.google.com/specimen/Bitcount+Single
Bitcount Single Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention versatile multi-weight flexible variable variable-font responsive variable-weight variable-slant english western european extended-latin european,100 | 200 | 300 | 400 | 500 | 600 | 700 | 800 | 900,CRSV: 0..1 | ELSH: 0..100 | ELXP: 0..100 | SZP1: 0..100 | SZP2: 0..100 | XPN1: -100..100 | XPN2: -100..100 | YPN1: -100..100 | YPN2: -100..100 | slnt: -8..0 | wght: 100..900,latin | latin-ext,Petr van Blokland,1076,714,No,2025-09-11,2025-09-16,https://fonts.google.com/specimen/Bitcount+Single+Ink
Bitter,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese popular widely-used,100 | 100i | 200 | 200i | 300 | 300i | 400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,wght: 100..900,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Sol Matas,102,771,No,2011-12-19,2026-06-30,https://fonts.google.com/specimen/Bitter
BIZ UDGothic,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque russian cyrillic slavic greek extended japanese kanji hiragana katakana english western european extended-latin european,400 | 700,,cyrillic | greek-ext | japanese | latin | latin-ext,Type Bank Co. | Morisawa Inc.,364,1188,No,2022-03-16,2025-05-30,https://fonts.google.com/specimen/BIZ+UDGothic
BIZ UDMincho,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone russian cyrillic slavic greek extended japanese kanji hiragana katakana english western european extended-latin european,400 | 700,,cyrillic | greek-ext | japanese | latin | latin-ext,Type Bank Co. | Morisawa Inc.,724,1126,No,2022-03-16,2025-05-30,https://fonts.google.com/specimen/BIZ+UDMincho
BIZ UDPGothic,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque russian cyrillic slavic greek extended japanese kanji hiragana katakana english western european extended-latin european,400 | 700,,cyrillic | greek-ext | japanese | latin | latin-ext,Type Bank Co. | Morisawa Inc.,100,110,No,2022-03-16,2026-01-06,https://fonts.google.com/specimen/BIZ+UDPGothic
BIZ UDPMincho,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone russian cyrillic slavic greek extended japanese kanji hiragana katakana english western european extended-latin european,400 | 700,,cyrillic | greek-ext | japanese | latin | latin-ext,Type Bank Co. | Morisawa Inc.,693,764,No,2022-03-16,2025-05-30,https://fonts.google.com/specimen/BIZ+UDPMincho
BJCree,Serif,Serif,,,400 | 500 | 600 | 700,,canadian-aboriginal | latin,SIL International,1081,1043,No,2026-03-26,2026-04-20,https://fonts.google.com/specimen/BJCree
Black And White Picture,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention korean hangul english western european,400,,korean | latin,AsiaSoft Inc.,438,140,No,2018-02-27,2025-09-16,https://fonts.google.com/specimen/Black+And+White+Picture
Black Han Sans,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention korean hangul english western european,400,,korean | latin,Zess Type,340,158,No,2018-02-23,2025-09-10,https://fonts.google.com/specimen/Black+Han+Sans
Black Ops One,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention cyrillic extended english western european extended-latin european vietnamese,400,,cyrillic-ext | latin | latin-ext | vietnamese,James Grieshaber | Eben Sorkin,28,457,No,2011-07-27,2025-09-10,https://fonts.google.com/specimen/Black+Ops+One
Blaka,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,Mohamed Gaber,1666,432,No,2022-04-25,2025-09-16,https://fonts.google.com/specimen/Blaka
Blaka Hollow,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,Mohamed Gaber,530,652,No,2022-04-25,2025-09-11,https://fonts.google.com/specimen/Blaka+Hollow
Blaka Ink,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention arabic RTL middle-east english western european extended-latin european,400,,arabic | latin | latin-ext,Mohamed Gaber,1084,445,No,2022-02-26,2025-05-30,https://fonts.google.com/specimen/Blaka+Ink
Blinker,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque versatile multi-weight flexible english western european extended-latin european,100 | 200 | 300 | 400 | 600 | 700 | 800 | 900,,latin | latin-ext,Juergen Huber,102,534,No,2019-06-23,2025-09-04,https://fonts.google.com/specimen/Blinker
Bodoni Moda,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european well-known common,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,opsz: 6..96 | wght: 400..900,latin | latin-ext | math | symbols,Owen Earl,153,1656,No,2020-11-25,2025-09-16,https://fonts.google.com/specimen/Bodoni+Moda
Bodoni Moda SC,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone versatile multi-weight flexible italic variable variable-font responsive variable-weight english western european extended-latin european,400 | 400i | 500 | 500i | 600 | 600i | 700 | 700i | 800 | 800i | 900 | 900i,opsz: 6..96 | wght: 400..900,latin | latin-ext | math | symbols,Owen Earl,370,71,No,2024-06-25,2025-09-10,https://fonts.google.com/specimen/Bodoni+Moda+SC
Bokor,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention khmer cambodian english western european,400,,khmer | latin,Danh Hong,398,40,No,2011-03-02,2025-09-16,https://fonts.google.com/specimen/Bokor
Boldonse,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Universitype,879,2013,No,2025-03-13,2025-05-30,https://fonts.google.com/specimen/Boldonse
Bona Nova,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic russian cyrillic slavic cyrillic extended greek hebrew RTL israeli english western european extended-latin european vietnamese multilingual international,400 | 400i | 700,,cyrillic | cyrillic-ext | greek | hebrew | latin | latin-ext | vietnamese,Capitalics | Mateusz Machalski | Andrzej Heidrich,646,1205,No,2021-04-13,2025-09-02,https://fonts.google.com/specimen/Bona+Nova
Bona Nova SC,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone italic russian cyrillic slavic cyrillic extended greek hebrew RTL israeli english western european extended-latin european vietnamese multilingual international,400 | 400i | 700,,cyrillic | cyrillic-ext | greek | hebrew | latin | latin-ext | vietnamese,Capitalics | Mateusz Machalski | Andrzej Heidrich,347,1003,No,2024-06-25,2025-05-30,https://fonts.google.com/specimen/Bona+Nova+SC
Bonbon,Handwriting,,Display | Handwriting,personal casual friendly warm handwritten script organic  headline hero decorative large-text attention script cursive hand-drawn artistic informal english western european,400,,latin,Cyreal,434,515,No,2011-12-07,2025-09-11,https://fonts.google.com/specimen/Bonbon
